Number,Last,First,IP,GP,GS,BF,#P,W,L,SV,SVO,BS,SV%,H,R,ER,BB,SO,K-L,HBP,ERA,WHIP,LOB,BK,PIK,CS,SB,SB%,WP,BAA,P/IP,P/BF,<3%,LOO,1ST2OUT,123INN,<13,FIP,S%,FPS%,FPSO%,FPSW%,FPSH%,BB/INN,0BBINN,BBS,LOBB,LOBBS,SM%,K/BF,K/BB,WEAK%,HHB%,GO/AO,HR,LD%,FB%,GB%,BABIP,BA/RISP
17,Raymond,Michael,1.2,1,1,13,50,0,1,0,0,0,0,4,5,5,4,2,1,0,21,4.8,2,0,0,0,2,100,1,0.444,30,3.846,46.15,1,0,0,0,6.98,52,46.15,50,16.67,33.33,2.4,0,3,1,1,14,0.154,0.5,71.43,28.57,0,0,0,57.14,42.86,0.571,0.333
19,Gehrman,Mason,18.2,4,3,76,339,2,1,0,0,0,0,10,5,3,8,31,7,5,1.125,0.964,13,0,0,2,4,66.67,2,0.159,18.2,4.461,26.32,12,8,4,4,2.173,60.47,46.05,77.14,5.71,14.29,0.429,13,1,2,1,21.24,0.408,3.875,78.13,21.88,0.5,1,9.38,43.75,46.88,0.29,0.118
20,Nelson,Tyler,1,1,0,5,24,0,0,0,0,0,0,1,1,1,1,1,0,0,7,2,1,0,0,0,2,100,0,0.25,24,4.8,20,0,0,0,0,3.76,50,80,50,25,25,1,0,1,1,1,0,0.2,1,100,0,0,0,0,66.67,33.33,0.333,0.5
21,Weakland,Jack,8.1,5,3,50,161,0,3,0,0,0,0,13,17,11,6,9,6,4,9.24,2.28,6,0,0,0,1,100,0,0.325,19.3,3.22,56,6,3,3,5,4.116,63.35,58,58.62,0,34.48,0.72,6,3,1,1,7.45,0.18,1.5,77.42,22.58,1.8,0,19.35,32.26,48.39,0.419,0.563
22,Rose,Jack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Partch,Gavin,13.1,6,2,58,180,1,1,0,0,0,0,13,7,2,3,9,2,2,1.05,1.2,13,0,0,0,2,100,0,0.245,13.5,3.103,56.9,8,4,4,9,2.801,70.56,81.03,68.09,4.26,23.4,0.225,10,2,1,1,12.22,0.155,3,81.82,18.18,0.929,0,9.09,38.64,52.27,0.295,0.222
26,England,Kyle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,England,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Wise,Kaleb,2.2,2,1,19,84,0,1,0,0,0,0,2,6,2,8,1,1,1,5.25,3.75,2,0,0,0,0,0,0,0.2,31.5,4.421,26.32,1,0,0,1,11.18,45.24,31.58,33.33,33.33,16.67,3,0,3,1,0,3.57,0.053,0.125,77.78,22.22,0.333,0,11.11,55.56,33.33,0.222,0.2
34,Windeshausen,Carson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,Kelly,Aidan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,Patito,Morgan,5,3,1,21,103,1,0,0,0,0,0,1,3,2,7,10,5,0,2.8,1.6,3,0,0,0,3,100,0,0.071,20.6,4.905,19.05,3,2,1,0,2.766,51.46,42.86,55.56,33.33,11.11,1.4,1,3,2,1,10.68,0.476,1.429,50,50,0,0,25,0,75,0.25,0.167
1,Vo,Kenny,0.1,1,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,4,0,0,0,0,0,3.2,50,100,100,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,100,0,0,0
4,Oshiro,Kaden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,Irwin,Dalton,8.2,6,0,50,179,0,0,0,0,0,0,21,17,13,5,9,3,0,10.5,3,7,0,0,2,4,66.67,3,0.467,20.7,3.58,44,5,2,1,2,2.586,60.34,64,43.75,6.25,50,0.577,5,2,0,0,7.82,0.18,1.8,77.78,22.22,5.5,0,13.89,33.33,52.78,0.583,0.5
6,Booth,Kenny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,Reding,Richard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,Macias,Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,Highberger,Chase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,Almany,Austin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,Ferguson,Brayden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Garcia,Dylan,9.2,4,0,53,185,0,0,0,0,0,0,12,14,7,4,5,2,7,5.069,1.655,9,1,0,1,2,66.67,0,0.3,19.1,3.491,49.06,5,3,1,3,5.097,57.84,58.49,51.61,6.45,22.58,0.414,6,2,0,0,7.03,0.094,1.25,64.86,35.14,0.5,0,21.62,37.84,40.54,0.324,0.278
14,Espinoza,Alejandro,22,5,4,97,360,3,1,0,0,0,0,18,11,10,12,20,5,4,3.182,1.364,20,1,0,3,6,66.67,5,0.222,16.4,3.711,42.27,17,11,5,7,3.238,58.33,58.76,61.4,12.28,19.3,0.545,12,2,1,1,13.33,0.206,1.667,73.77,26.23,2,0,18.03,18.03,63.93,0.295,0.211
15,Wainfield,Trent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Catherine,James,25.2,6,6,118,494,1,3,0,0,0,0,20,16,14,21,31,5,7,3.818,1.597,24,1,1,4,14,77.78,1,0.23,19.2,4.186,29.66,14,7,4,4,3.574,56.28,51.69,60.66,9.84,18.03,0.818,10,5,9,3,14.17,0.263,1.476,67.24,32.76,0.762,0,22.41,32.76,43.86,0.345,0.206
18,Vendyl,Daniel,4.1,5,0,22,101,0,0,0,0,0,0,1,1,1,4,8,4,4,1.615,1.154,9,0,0,0,4,100,1,0.071,23.3,4.591,18.18,1,1,0,0,4.234,51.49,50,63.64,9.09,9.09,0.923,3,0,1,0,9.9,0.364,2,66.67,33.33,0.25,0,33.33,50,16.67,0.167,0.1
19,Fowler,Cole,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Anderson,Dayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Haydon,Whitfield,13.1,7,4,86,304,1,3,1,1,0,100,13,20,14,18,8,1,12,7.35,2.325,20,0,0,1,13,92.86,8,0.245,22.8,3.535,39.53,6,3,2,5,7.809,48.36,51.16,63.64,13.64,15.91,1.35,5,6,3,3,8.22,0.093,0.444,81.25,18.75,0.588,0,14.58,39.58,45.83,0.271,0.194
23,Jackson,Jonathan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Marr,Tyler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,McCoy,Quinn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,McPeek,Gavin,0.2,1,0,3,7,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1.5,2,0,0,0,0,0,0,0.333,10.5,2.333,66.67,0,0,0,0,0.155,71.43,66.67,50,0,50,0,0,0,0,0,42.86,0.333,0,50,50,0,0,50,50,0,0.5,0
28,Ogletree,Alex,2.1,1,0,9,39,1,0,0,0,0,0,2,1,0,0,3,2,0,0,0.857,3,0,0,0,0,0,0,0.222,16.7,4.333,0,2,1,1,1,0.59,71.79,77.78,71.43,0,28.57,0,2,0,0,0,15.38,0.333,0,83.33,16.67,0.5,0,16.67,50,33.33,0.333,0.333
31,Gervais,Zach,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,Ochoa,Nicholas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
